氏名,ふりがな,会派,選挙区,当選回数,令和6年1月19日現在
岸田　　文雄君,きしだ 　ふみお,自民,広島1,10,
北神　　圭朗君,きたがみ 　けいろう,有志,京都4,4,
北側　　一雄君,きたがわ 　かずお,公明,大阪16,10,
木原　　誠二君,きはら 　せいじ,自民,東京20,5,
木原　　　稔君,きはら 　みのる,自民,熊本1,5,
木村　　次郎君,きむら 　じろう,自民,青森3,2,
吉良　　州司君,きら 　しゅうじ,有志,大分1,6,
金城　　泰邦君,きんじょう 　やすくに,公明,（比）九州,1,
日下　　正喜君,くさか 　まさき,公明,（比）中国,1,
櫛渕　　万里君,くしぶち 　まり,れ新,（比）東京,2,
工藤　　彰三君,くどう 　しょうぞう,自民,愛知4,4,
国定　　勇人君,くにさだ 　いさと,自民,（比）北陸信越,1,
國重　　　徹君,くにしげ 　とおる,公明,大阪5,4,
国光　あやの君,くにみつ 　あやの,自民,茨城6,2,
熊田　　裕通君,くまだ 　ひろみち,自民,愛知1,4,
玄葉　光一郎君,げんば 　こういちろう,立憲,福島3,10,
源馬　謙太郎君,げんま 　けんたろう,立憲,静岡8,2,
小泉　進次郎君,こいずみ 　しんじろう,自民,神奈川11,5,
小泉　　龍司君,こいずみ 　りゅうじ,自民,埼玉11,7,
神津　たけし君,こうづ 　たけし,立憲,（比）北陸信越,1,
河野　　太郎君,こうの 　たろう,自民,神奈川15,9,
高村　　正大君,こうむら 　まさひろ,自民,山口1,2,
古賀　　　篤君,こが 　あつし,自民,福岡3,4,
穀田　　恵二君,こくた 　けいじ,共産,（比）近畿,10,
國場　幸之助君,こくば 　こうのすけ,自民,（比）九州,4,
小島　　敏文君,こじま 　としふみ,自民,（比）中国,4,
輿水　　恵一君,こしみず 　けいいち,公明,（比）北関東,3,
小寺　　裕雄君,こてら 　ひろお,自民,滋賀4,2,
後藤　　茂之君,ごとう 　しげゆき,自民,長野4,7,
後藤　　祐一君,ごとう 　ゆういち,立憲,神奈川16,5,
小林　　茂樹君,こばやし 　しげき,自民,（比）近畿,3,
小林　　鷹之君,こばやし 　たかゆき,自民,千葉2,4,
小林　　史明君,こばやし 　ふみあき,自民,広島7,4,
小宮山　泰子君,こみやま 　やすこ,立憲,（比）北関東,7,
小森　　卓郎君,こもり 　たくお,自民,石川1,1,
小山　　展弘君,こやま 　のぶひろ,立憲,静岡3,3,
近藤　　和也君,こんどう 　かずや,立憲,（比）北陸信越,3,
近藤　　昭一君,こんどう 　しょういち,立憲,愛知3,9,
斎藤アレックス君,さいとう 　あれっくす,維教,（比）近畿,1,
齋藤　　　健君,さいとう 　けん,自民,千葉7,5,
斉藤　　鉄夫君,さいとう 　てつお,公明,広島3,10,
斎藤　　洋明君,さいとう 　ひろあき,自民,新潟3,4,
坂井　　　学君,さかい 　まなぶ,自民,神奈川5,5,
坂本　　哲志君,さかもと 　てつし,自民,熊本3,7,
坂本　祐之輔君,さかもと 　ゆうのすけ,立憲,（比）北関東,3,
櫻井　　　周君,さくらい 　しゅう,立憲,（比）近畿,2,
櫻田　　義孝君,さくらだ 　よしたか,自民,（比）南関東,8,
笹川　　博義君,ささがわ 　ひろよし,自民,群馬3,4,
佐々木　　紀君,ささき 　はじめ,自民,石川2,4,
佐藤　　公治君,さとう 　こうじ,立憲,広島6,4（参1）,
佐藤　　茂樹君,さとう 　しげき,公明,大阪3,10,
佐藤　　　勉君,さとう 　つとむ,自民,栃木4,9,
佐藤　　英道君,さとう 　ひでみち,公明,（比）北海道,4,
沢田　　　良君,さわだ 　りょう,維教,（比）北関東,1,
志位　　和夫君,しい 　かずお,共産,（比）南関東　　,10,
塩川　　鉄也君,しおかわ 　てつや,共産,（比）北関東,8,
塩崎　　彰久君,しおざき 　あきひさ,自民,愛媛1,1,
塩谷　　　立君,しおのや 　りゅう,自民,（比）東海,10,
重徳　　和彦君,しげとく 　かずひこ,立憲,愛知12,4,
階　　　　猛君,しな 　たけし,立憲,岩手1,6,
篠原　　　豪君,しのはら 　ごう,立憲,神奈川1,3,
篠原　　　孝君,しのはら 　たかし,立憲,（比）北陸信越,7,
柴山　　昌彦君,しばやま 　まさひこ,自民,埼玉8,7,
島尻　安伊子君,しまじり 　あいこ,自民,沖縄3,1（参2）,
下条　　みつ君,しもじょう 　みつ,立憲,長野2,5,
下村　　博文君,しもむら 　はくぶん,自民,東京11,9,
庄子　　賢一君,しょうじ 　けんいち,公明,（比）東北,1,
白石　　洋一君,しらいし 　よういち,立憲,（比）四国,3,
新谷　　正義君,しんたに 　まさよし,自民,広島4,4,
新藤　　義孝君,しんどう 　よしたか,自民,埼玉2,8,
末松　　義規君,すえまつ 　よしのり,立憲,東京19,7,
菅　　　義偉君,すが 　よしひで,自民,神奈川2,9,
杉田　　水脈君,すぎた 　みお,自民,（比）中国,3,
杉本　　和巳君,すぎもと 　かずみ,維教,（比）東海,4,
鈴木　　　敦君,すずき 　あつし,維教,（比）南関東,1,
鈴木　　英敬君,すずき 　えいけい,自民,三重4,1,
鈴木　　馨祐君,すずき 　けいすけ,自民,神奈川7,5,
鈴木　　俊一君,すずき 　しゅんいち,自民,岩手2,10,
鈴木　　淳司君,すずき 　じゅんじ,自民,愛知7,6,
鈴木　　貴子君,すずき 　たかこ,自民,（比）北海道,4,
鈴木　　憲和君,すずき 　のりかず,自民,山形2,4,
鈴木　　隼人君,すずき 　はやと,自民,東京10,3,
鈴木　　庸介君,すずき 　ようすけ,立憲,（比）東京,1,
鈴木　　義弘君,すずき 　よしひろ,国民,（比）北関東,3,
住吉　　寛紀君,すみよし 　ひろき,維教,（比）近畿,1,
関　　　芳弘君,せき 　よしひろ,自民,兵庫3,5,
瀬戸　　隆一君,せと 　たかかず,自民,（比）四国,3,
空本　　誠喜君,そらもと 　せいき,維教,（比）中国,2,
平　　　将明君,たいら 　まさあき,自民,東京4,6,
高市　　早苗君,たかいち 　さなえ,自民,奈良2,9,
高階　恵美子君,たかがい 　えみこ,自民,（比）中国,1（参2）,
高木　　　啓君,たかぎ 　けい,自民,（比）東京,2,
高木　　　毅君,たかぎ 　つよし,自民,福井2,8,
高木　　宏壽君,たかぎ 　ひろひさ,自民,北海道3,3,
高木　　陽介君,たかぎ 　ようすけ,公明,（比）東京,9,
高鳥　　修一君,たかとり 　しゅういち,自民,（比）北陸信越,5,
高橋　千鶴子君,たかはし 　ちづこ,共産,（比）東北,7,
高橋　　英明君,たかはし 　ひであき,維教,（比）北関東,1,
高見　　康裕君,たかみ 　やすひろ,自民,島根2,1,
たがや　　亮君,たがや 　りょう,れ新,（比）南関東,1,
武井　　俊輔君,たけい 　しゅんすけ,自民,（比）九州,4,
竹内　　　譲君,たけうち 　ゆずる,公明,（比）近畿,6,
武田　　良太君,たけだ 　りょうた,自民,福岡11,7,
武部　　　新君,たけべ 　あらた,自民,北海道12,4,
武村　　展英君,たけむら 　のぶひで,自民,滋賀3,4,
田嶋　　　要君,たじま 　かなめ,立憲,千葉1,7,
橘　　慶一郎君,たちばな 　けいいちろう,自民,富山3,5,
田所　　嘉徳君,たどころ 　よしのり,自民,（比）北関東,4,
田中　　和徳君,たなか 　かずのり,自民,神奈川10,9,
田中　　　健君,たなか 　けん,国民,（比）東海,1,
田中　　英之君,たなか 　ひでゆき,自民,（比）近畿,4,
田中　　良生君,たなか 　りょうせい,自民,埼玉15,5,
棚橋　　泰文君,たなはし 　やすふみ,自民,岐阜2,9,
谷　　　公一君,たに 　こういち,自民,兵庫5,7,
谷川　　とむ君,たにがわ 　とむ,自民,（比）近畿,3,
田野瀬　太道君,たのせ 　たいどう,自民,奈良3,4,
田畑　　裕明君,たばた 　ひろあき,自民,富山1,4,
玉木　雄一郎君,たまき 　ゆういちろう,国民,香川2,5,
田村　　貴昭君,たむら 　たかあき,共産,（比）九州,3,
田村　　憲久君,たむら 　のりひさ,自民,三重1,9,
塚田　　一郎君,つかだ 　いちろう,自民,(比)北陸信越,1（参2）,
辻　　　清人君,つじ 　きよと,自民,東京2,4,
津島　　　淳君,つしま 　じゅん,自民,（比）東北,4,
土田　　　慎君,つちだ 　しん,自民,東京13,1,
土屋　　品子君,つちや 　しなこ,自民,埼玉13,8,
