氏名,ふりがな,会派,選挙区,当選回数
島尻　安伊子君,しまじり 　あいこ,自民,沖縄3,2（参2）
島田　　智明君,しまだ 　ともあき,自民,（比）近畿,1
島田　　洋一君,しまだ 　よういち,保守,（比）近畿,1
下条　　みつ君,しもじょう 　みつ,立憲,長野2,6
下野　　幸助君,しもの 　こうすけ,立憲,三重2,1
庄子　　賢一君,しょうじ 　けんいち,公明,（比）東北,2
白石　　洋一君,しらいし 　よういち,立憲,愛媛2,4
新谷　　正義君,しんたに 　まさよし,自民,（比）中国,5
新藤　　義孝君,しんどう 　よしたか,自民,埼玉2,9
末松　　義規君,すえまつ 　よしのり,立憲,東京19,8
菅　　　義偉君,すが 　よしひで,自民,神奈川2,10
杉村　　慎治君,すぎむら 　しんじ,立憲,埼玉9,1
杉本　　和巳君,すぎもと 　かずみ,維新,（比）東海,5
鈴木　　　敦君,すずき 　あつし,参政,（比）南関東,2
鈴木　　英敬君,すずき 　えいけい,自民,三重4,2
鈴木　　馨祐君,すずき 　けいすけ,自民,（比）南関東,6
鈴木　　俊一君,すずき 　しゅんいち,自民,岩手2,11
鈴木　　貴子君,すずき 　たかこ,自民,北海道7,5
鈴木　　岳幸君,すずき 　たけゆき,立憲,（比）東海,1
鈴木　　憲和君,すずき 　のりかず,自民,山形2,5
鈴木　　隼人君,すずき 　はやと,自民,東京10,4
鈴木　　庸介君,すずき 　ようすけ,立憲,（比）東京,2
鈴木　　義弘君,すずき 　よしひろ,国民,埼玉14,4
関　　　芳弘君,せき 　よしひろ,自民,兵庫3,6
世耕　　弘成君,せこう 　ひろしげ,自民,和歌山2,1（参5）
瀬戸　　隆一君,せと 　たかかず,自民,（比）四国,4
仙田　　晃宏君,せんだ 　あきひろ,国民,（比）東海,1
宗野　　　創君,そうの 　はじめ,立憲,神奈川18,1
空本　　誠喜君,そらもと 　せいき,維新,広島4,3
平　　　将明君,たいら 　まさあき,自民,東京4,7
高井　　崇志君,たかい 　たかし,れ新,（比）北関東,4
高市　　早苗君,たかいち 　さなえ,自民,奈良2,10
高木　　　啓君,たかぎ 　けい,自民,東京12,3
高橋　　　永君,たかはし 　えい,立憲,（比）四国,1
高橋　　英明君,たかはし 　ひであき,維新,（比）北関東,2
高松　　智之君,たかまつ 　さとし,立憲,東京28,1
高見　　康裕君,たかみ 　やすひろ,自民,島根2,2
たがや　　亮君,たがや 　りょう,れ新,（比）南関東,2
竹内　　千春君,たけうち 　ちはる,立憲,（比）北関東,1
竹内　　　譲君,たけうち 　ゆずる,公明,（比）近畿,7
竹上　　裕子君,たけがみ 　ゆうこ,保守,（比）東海,1
武部　　　新君,たけべ 　あらた,自民,北海道12,5
武正　　公一君,たけまさ 　こういち,立憲,（比）北関東,7
武村　　展英君,たけむら 　のぶひで,自民,滋賀3,5
田嶋　　　要君,たじま 　かなめ,立憲,千葉1,8
橘　　慶一郎君,たちばな 　けいいちろう,自民,富山3,6
辰巳　孝太郎君,たつみ 　こうたろう,共産,（比）近畿,1（参1）
田所　　嘉徳君,たどころ 　よしのり,自民,（比）北関東,5
田中　　和徳君,たなか 　かずのり,自民,神奈川10,10
田中　　　健君,たなか 　けん,国民,静岡4,2
田中　　良生君,たなか 　りょうせい,自民,埼玉15,6
棚橋　　泰文君,たなはし 　やすふみ,自民,岐阜2,10
谷　　　公一君,たに 　こういち,自民,兵庫5,8
田野瀬　太道君,たのせ 　たいどう,自民,奈良3,5
田畑　　裕明君,たばた 　ひろあき,自民,富山1,5
玉木　雄一郎君,たまき 　ゆういちろう,国民,香川2,6
田村　　貴昭君,たむら 　たかあき,共産,（比）九州,4
田村　　智子君,たむら 　ともこ,共産,（比）東京,1（参3）
田村　　憲久君,たむら 　のりひさ,自民,三重1,10
丹野　みどり君,たんの 　みどり,国民,愛知11,1
辻　　　清人君,つじ 　きよと,自民,東京2,5
辻　　　英之君,つじ 　ひでゆき,立憲,福井2,1
津島　　　淳君,つしま 　じゅん,自民,青森1,5
土田　　　慎君,つちだ 　しん,自民,東京13,2
土屋　　品子君,つちや 　しなこ,自民,埼玉16,9
堤　　かなめ君,つつみ 　かなめ,立憲,（比）九州,2
角田　　秀穂君,つのだ 　ひでお,公明,（比）南関東,3
津村　　啓介君,つむら 　けいすけ,立憲,（比）中国,7
手塚　　仁雄君,てづか 　よしお,立憲,東京5,6
寺田　　　学君,てらた 　まなぶ,立憲,（比）東北,7
寺田　　　稔君,てらだ 　みのる,自民,（比）中国,7
渡海　紀三朗君,とかい 　きさぶろう,自民,兵庫10,11
冨樫　　博之君,とがし 　ひろゆき,自民,秋田1,5
徳安　　淳子君,とくやす 　じゅんこ,維新,（比）近畿,1
永岡　　桂子君,ながおか 　けいこ,自民,（比）北関東,7
中川　　宏昌君,なかがわ 　ひろまさ,公明,（比）北陸信越,2
中川　　康洋君,なかがわ 　やすひろ,公明,（比）東海,3
長坂　　康正君,ながさか 　やすまさ,自民,（比）東海,5
中島　　克仁君,なかじま 　かつひと,立憲,山梨1,5
長島　　昭久君,ながしま 　あきひさ,自民,（比）東京,8
中曽根　康隆君,なかそね 　やすたか,自民,群馬1,3
中谷　　一馬君,なかたに 　かずま,立憲,神奈川7,3
中谷　　　元君,なかたに 　げん,自民,高知1,12
中谷　　真一君,なかたに 　しんいち,自民,（比）南関東,5
中司　　　宏君,なかつか 　ひろし,維新,大阪11,2
長妻　　　昭君,ながつま 　あきら,立憲,東京27,9
長友　　慎治君,ながとも 　しんじ,国民,（比）九州,2
長友よしひろ君,ながとも 　よしひろ,立憲,（比）南関東,1
中西　　健治君,なかにし 　けんじ,自民,神奈川3,2（参2）
中野　　英幸君,なかの 　ひでゆき,自民,（比）北関東,2
中野　　洋昌君,なかの 　ひろまさ,公明,兵庫8,5
中村　はやと君,なかむら 　はやと,無,茨城7,1
中村　　裕之君,なかむら 　ひろゆき,自民,（比）北海道,5
仁木　　博文君,にき 　ひろぶみ,自民,徳島1,3
西岡　　秀子君,にしおか 　ひでこ,国民,長崎1,3
西岡　　義高君,にしおか 　よしたか,国民,（比）南関東,1
西川　　厚志君,にしかわ 　あつし,立憲,愛知5,1
西川　　将人君,にしかわ 　まさひと,立憲,（比）北海道,1
西園　　勝秀君,にしぞの 　かつひで,公明,（比）東海,1
西田　　　薫君,にしだ 　かおる,維新,大阪6,1
西田　　昭二君,にしだ 　しょうじ,自民,（比）北陸信越,3
西野　　太亮君,にしの 　だいすけ,自民,熊本2,2
西村　智奈美君,にしむら 　ちなみ,立憲,新潟1,7
西村　　康稔君,にしむら 　やすとし,自民,兵庫9,8
西銘　恒三郎君,にしめ 　こうさぶろう,自民,沖縄4,7
丹羽　　秀樹君,にわ 　ひでき,自民,愛知6,7
額賀　福志郎君,ぬかが 　ふくしろう,無,茨城2,14
沼崎　　満子君,ぬまざき 　みつこ,公明,（比）南関東,1
根本　　　拓君,ねもと 　たく,自民,（比）東北,1
根本　　幸典君,ねもと 　ゆきのり,自民,愛知15,5
野田　　聖子君,のだ 　せいこ,自民,岐阜1,11
野田　　佳彦君,のだ 　よしひこ,立憲,千葉14,10
野中　　　厚君,のなか 　あつし,自民,（比）北関東,5
野間　　　健君,のま 　たけし,立憲,鹿児島3,4
萩生田　光一君,はぎうだ 　こういち,自民,東京24,7
萩原　　　佳君,はぎはら 　けい,維新,大阪9,1
橋本　　慧悟君,はしもと 　けいご,立憲,（比）近畿,1
橋本　　幹彦君,はしもと 　みきひこ,国民,埼玉13,1
長谷川　嘉一君,はせがわ 　かいち,立憲,（比）北関東,2
長谷川　淳二君,はせがわ 　じゅんじ,自民,愛媛3,2
波多野　　翼君,はたの 　つばさ,立憲,（比）北陸信越,1
鳩山　紀一郎君,はとやま 　きいちろう,国民,（比）東京,1
鳩山　　二郎君,はとやま 　じろう,自民,福岡6,4
